fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,metrics.icuHeadroomRatio,metrics.icuHeadroomDetails,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,riskLevels.icuHeadroomRatio,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.hospitalBeds.typicalUsageRate,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.icuBeds.typicalUsageRate,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered\
48053,US,TX,Burnet County,county,,iso1:us#iso2:us-tx#fips:48053,,48155,0.069,other,7.1,,1,0.75,,,0.57,1,1,1,4,1,4,0,4848,66,,,,71,40,0,0.41,8,4,0,0.44,2,,19625,16844,6/18/21,https://covidactnow.org/us/texas-tx/county/burnet_county,0.408,0.35,0,34281\
48055,US,TX,Caldwell County,county,,iso1:us#iso2:us-tx#fips:48055,,43664,0.08,other,9.2,,0.98,0.94,,,,1,1,1,4,1,4,4,5750,99,,,,66,37,0,0.64,10,9,4,,3,,17571,14289,6/18/21,https://covidactnow.org/us/texas-tx/county/caldwell_county,0.402,0.327,0,30123\
48057,US,TX,Calhoun County,county,,iso1:us#iso2:us-tx#fips:48057,,21290,0.089,other,12.7,,0.77,0.75,,,0.65,2,1,2,4,0,4,0,2296,25,,,,25,11,1,0.4,5,3,1,0.2,1,,8556,7565,6/18/21,https://covidactnow.org/us/texas-tx/county/calhoun_county,0.402,0.355,0,14828\
48059,US,TX,Callahan County,county,,iso1:us#iso2:us-tx#fips:48059,,13943,0.05,other,6.1,,1.04,1.22,,,,1,1,1,4,1,4,4,1214,41,,,,,,1,,,,0,,2,,3964,3491,6/18/21,https://covidactnow.org/us/texas-tx/county/callahan_county,0.284,0.25,1,6949\
48061,US,TX,Cameron County,county,,iso1:us#iso2:us-tx#fips:48061,,423163,0.074,other,9.4,,1.19,0.28,0.14,,0.82,2,1,1,4,2,0,2,41773,1676,,,,1418,740,34,0.58,104,86,8,0.68,32,,248697,207168,6/18/21,https://covidactnow.org/us/texas-tx/county/cameron_county,0.588,0.49,0,441710\
48063,US,TX,Camp County,county,,iso1:us#iso2:us-tx#fips:48063,,13094,0.071,other,3.3,,1.02,1.16,0,,,1,1,1,4,1,0,4,1267,44,,,,25,11,0,0.32,4,,0,,1,,4128,3439,6/18/21,https://covidactnow.org/us/texas-tx/county/camp_county,0.315,0.263,0,7318\
48065,US,TX,Carson County,county,,iso1:us#iso2:us-tx#fips:48065,,5926,0.033,other,24.1,,1.06,0.82,,,,2,1,2,4,1,4,4,580,14,,,,,,0,,,,0,,3,,1584,1381,6/18/21,https://covidactnow.org/us/texas-tx/county/carson_county,0.267,0.233,0,2892\
48067,US,TX,Cass County,county,,iso1:us#iso2:us-tx#fips:48067,,30026,0.059,other,2.9,,0.88,1.07,inf,,,1,1,1,4,0,4,4,1977,84,,,,43,,4,,0,,2,,1,,7668,6501,6/18/21,https://covidactnow.org/us/texas-tx/county/cass_county,0.255,0.217,1,13087\
48069,US,TX,Castro County,county,,iso1:us#iso2:us-tx#fips:48069,,7530,,other,13.3,,0.96,0.85,,,,2,4,2,4,1,4,4,1047,32,,,,17,3,1,0.16,0,,0,,2,,2383,1956,6/18/21,https://covidactnow.org/us/texas-tx/county/castro_county,0.316,0.26,0,4193\
48071,US,TX,Chambers County,county,,iso1:us#iso2:us-tx#fips:48071,,43837,0.057,other,8.8,,0.74,0.72,inf,,,1,1,1,4,0,4,4,5194,56,,,,39,7,0,0.09,0,,1,,0,,15035,10884,6/18/21,https://covidactnow.org/us/texas-tx/county/chambers_county,0.343,0.248,0,25209\
